1.7055            1.5935
1.7344            1.7415
1.7776            1.9104
1.7239            1.7598
1.7943            1.7541
1.7892            1.6766
1.6249            1.7469
1.6552            1.7732
1.6759            1.7926
1.6992            1.7127
1.7179            1.7264
1.7512            1.9524
1.4471            1.5242
1.7043            1.9729
1.8742            1.7838
1.6433            1.8500
1.8434            1.5836
1.7850            1.6910
1.7471            1.7222
1.7682            1.7923
